TransactionID;Date;Count;Cost;Delivery;Bad;Paid;Weight;Promo;AutoIssue
28;2020-Mar-19 16:45:00;27;6371;1;0;5960;8556;1;0
29;2020-Jan-24 10:30:00;62;7491;1;0;13810;8007;0;1
30;2019-Jun-23 19:15:00;39;7752;1;1;4013;8722;0;1
31;2019-Sep-5 4:30:00;46;7001;0;0;1677;7722;1;0
32;2019-Nov-28 11:45:00;91;6889;1;1;242;4649;1;1
33;2020-Jul-19 11:30:00;70;9790;0;1;9439;4054;1;1
34;2020-Jan-20 11:00:00;26;5215;0;1;3443;5640;0;0
35;2020-May-9 9:30:00;41;8900;0;1;8606;4872;0;1
36;2019-Dec-8 16:30:00;67;8224;0;0;14988;5775;0;0
37;2019-Oct-28 18:30:00;81;9932;1;1;11279;8175;0;0
38;2020-May-3 1:45:00;42;6485;1;0;3832;6040;1;0
39;2020-Jul-24 5:30:00;43;7657;0;1;12357;4717;1;0
40;2020-May-5 14:30:00;30;4382;0;0;12324;5656;0;0
41;2020-Apr-27 7:30:00;17;5282;1;0;5433;5990;1;0
42;2020-Mar-4 19:45:00;10;7594;1;1;12624;9788;0;0
43;2019-Sep-24 5:45:00;62;8374;0;0;2232;7755;0;0
44;2019-Apr-5 12:16:01;13;7362;0;1;2205;5489;0;1
45;2019-Aug-16 21:15:00;37;5271;1;0;14116;8453;1;0
46;2019-Jul-17 5:00:01;84;7021;1;1;2080;4493;1;0
47;2020-Jun-18 14:30:00;94;5245;0;1;2577;6278;0;1
48;2020-Jul-9 22:00:00;67;9310;1;0;5638;4079;0;1
49;2020-Jan-13 10:45:00;17;4617;1;1;13895;9243;0;1
50;2020-Mar-22 13:15:00;17;9245;0;0;11403;9378;0;1
51;2020-Mar-6 18:00:00;23;4258;1;0;9356;6978;1;1
52;2019-Sep-20 10:00:00;44;8182;1;1;204;9361;1;0
53;2019-Jul-12 17:00:00;25;6398;0;0;6479;6651;0;0
54;2019-May-29 15:16:00;44;7070;1;0;6830;9543;0;1
55;2020-Jun-17 15:30:00;93;9195;0;1;2846;7487;1;1
56;2020-Aug-5 8:15:00;19;5129;0;1;4953;8805;1;1
57;2019-May-31 2:46:01;42;7083;1;0;7729;6773;0;0
58;2020-Jul-13 8:30:00;5;5132;0;1;9958;4233;0;1
59;2019-Jun-6 3:45:05;29;9827;1;0;5742;6790;1;1
60;2019-Oct-14 9:45:00;65;8344;1;0;3819;5553;1;0
61;2019-Dec-8 8:15:00;55;7660;1;1;8516;6185;1;0
62;2019-Sep-24 12:00:00;71;5967;0;0;2713;8943;1;1
63;2019-Aug-7 14:45:00;95;9141;1;0;1175;6007;1;1
64;2019-Aug-19 9:45:00;3;4361;1;0;4034;8043;0;0
65;2020-Mar-5 10:15:00;81;9018;0;1;3568;7328;1;1
66;2019-May-31 12:49:01;70;5907;0;1;10538;9621;0;1
67;2019-Oct-25 18:00:00;32;7489;1;0;7179;8699;1;1
68;2020-Jan-10 20:45:00;98;5327;0;1;12992;6723;1;1
69;2019-Nov-1 5:15:00;91;4552;1;0;5580;4151;1;1
70;2020-Jul-26 17:00:00;23;6592;0;0;752;6109;0;1
71;2020-Aug-16 13:45:00;1;8411;1;1;13386;4144;1;1
72;2020-Feb-12 8:30:00;60;5774;1;0;1840;7535;0;0
73;2019-Jun-27 8:15:00;86;9556;0;0;14561;9397;1;1
74;2020-Jul-10 12:45:00;86;4965;1;0;4350;5972;1;0
75;2019-Nov-18 11:00:01;84;4895;1;0;6381;6154;0;1
76;2019-Nov-25 13:00:00;93;6037;0;0;10962;7596;1;0
77;2020-Aug-27 8:00:00;49;6309;1;1;3399;7552;0;0
78;2020-May-22 6:15:00;68;5073;1;0;10124;5548;1;0
79;2020-Jul-31 9:30:00;29;4477;0;1;12027;6875;0;0
80;2019-Jul-9 11:00:01;52;7350;0;1;3800;8508;0;1
81;2019-Aug-17 16:30:00;8;5271;1;1;4083;6281;0;0
82;2019-Jul-16 6:30:00;86;6755;1;0;11963;4175;1;0
83;2019-Jul-5 13:45:00;76;5621;0;0;14585;8272;0;0
84;2019-Jun-13 13:15:00;64;6224;0;0;2137;9717;0;1
85;2020-Aug-24 0:15:00;79;4333;0;1;6321;7111;0;0
86;2020-Jul-19 19:15:00;91;7168;0;1;5003;6401;0;0
87;2019-May-13 14:36:01;52;6078;1;0;4711;8638;1;1
88;2020-May-19 11:00:00;100;5265;0;0;10302;8921;1;1
89;2019-Nov-20 5:45:00;90;9635;0;0;10279;5872;1;1
90;2019-Aug-19 11:45:00;36;8444;1;0;14519;4812;0;1
91;2019-Jul-5 13:15:00;66;9203;1;1;8427;4759;1;1
92;2020-May-29 12:00:00;15;8425;0;0;5322;6713;0;0
93;2019-Oct-27 7:00:01;14;6323;1;0;2995;6319;1;1
94;2020-Apr-10 13:15:00;26;9338;1;0;11202;4364;1;0
95;2020-Jun-15 17:15:00;89;7311;0;1;5819;4100;1;0
96;2019-Jul-13 17:30:01;74;6913;0;1;1270;9713;0;0
97;2020-Jun-8 16:00:00;99;8474;1;1;14965;7623;1;1
98;2020-May-5 11:15:00;54;8257;1;0;12461;9055;1;0
99;2020-Feb-26 7:30:00;68;7272;1;1;11622;5776;0;1
100;2019-Jul-29 15:15:00;74;5466;0;0;10529;6137;0;0
101;2020-Jun-28 22:30:00;73;8328;1;0;2849;9947;0;0
102;2019-Nov-19 15:45:00;52;4398;0;1;13783;9489;1;0
103;2020-Aug-13 11:45:00;24;5399;1;1;2739;6735;1;0
104;2020-Jan-15 12:15:00;93;4614;1;0;10968;5322;1;1
105;2019-Sep-30 11:45:00;84;7564;0;1;8315;4492;1;1
106;2019-Sep-17 13:15:00;58;9022;0;1;2966;6484;0;0
107;2019-Dec-12 7:30:03;52;4877;0;1;1344;8696;1;0
108;2019-Nov-5 6:30:01;29;4003;0;0;7755;8422;0;1
109;2019-Nov-16 15:30:00;98;7801;1;1;11156;7627;1;0
110;2019-Jul-18 12:00:00;24;8595;1;1;14481;5840;1;0
111;2020-Jul-10 16:30:00;80;9176;0;1;7473;9155;1;1
112;2019-Apr-3 4:20:00;32;5770;0;0;2755;6528;1;0
113;2020-May-13 13:00:00;50;8640;0;0;8163;5406;1;1
114;2019-Apr-5 6:58:03;73;5997;0;0;822;6959;1;1
115;2019-Oct-7 7:45:02;25;8848;1;0;12891;5832;1;1
116;2019-Nov-8 15:00:01;7;9518;0;0;2508;6200;1;0
117;2020-Apr-4 15:30:00;8;9290;1;0;13695;7573;1;0
118;2020-May-2 12:45:00;72;6033;1;1;11222;6251;1;1
119;2019-Sep-6 6:30:01;53;8135;0;0;12926;8013;0;1
120;2019-Jun-28 8:30:00;95;6791;1;1;7144;4928;0;0
121;2020-Mar-25 13:00:01;4;8055;1;1;13538;4911;1;1
122;2020-Aug-30 5:00:00;40;6585;0;1;10393;5423;1;1
123;2020-Jul-9 7:45:00;88;6330;0;0;3309;5850;1;1
124;2019-Apr-9 9:14:00;4;9112;0;0;11800;9953;0;0
125;2019-Aug-12 8:30:00;14;8333;0;1;6105;4306;0;0
126;2019-Aug-29 6:00:01;2;5009;1;1;7150;7739;0;1
127;2019-Jul-3 15:30:00;35;8774;0;0;4409;9441;0;0
128;2019-Oct-3 7:15:01;26;4819;0;1;9090;7326;1;1
129;2019-Apr-25 18:46:03;50;4293;1;0;794;9906;1;0
130;2020-Aug-20 16:00:00;29;4380;0;0;5587;5465;1;1
131;2019-Aug-7 2:45:00;47;4098;1;1;3898;9413;1;0
132;2019-Oct-17 12:00:00;92;5022;0;1;11686;6606;1;0
133;2019-Oct-9 7:30:00;8;4585;0;0;5135;9704;1;1
134;2019-Jul-27 11:15:00;93;9181;1;0;1566;6723;1;1
135;2019-Aug-11 12:30:00;24;8436;0;1;12477;7313;0;1
136;2019-Oct-22 19:00:00;19;7260;1;0;12667;6021;0;0
137;2020-Aug-14 14:45:00;31;6066;1;0;13652;7690;0;0
138;2019-Dec-11 17:30:00;34;6976;1;1;5095;9039;1;1
139;2020-May-15 9:30:00;17;6484;0;0;7041;8216;0;1
140;2019-Sep-19 14:30:00;78;7413;0;1;5931;7620;0;1
141;2020-Feb-23 20:30:00;41;6825;0;0;2295;7153;0;1
142;2020-Mar-25 8:15:00;95;9038;0;1;14377;4347;1;0
143;2020-Mar-17 23:30:00;75;8461;0;0;9719;9180;1;1
144;2020-Jun-6 14:15:00;34;8461;0;0;10281;4096;1;0
145;2020-Mar-11 14:30:00;53;5479;1;0;14242;4641;1;1
146;2019-May-2 12:40:00;17;6275;1;1;7945;4247;1;0
147;2020-Jan-4 12:15:00;95;6053;0;1;6785;5011;0;0
148;2019-Sep-16 7:15:00;36;8082;1;1;12917;8151;1;1
149;2020-Mar-2 15:15:00;84;6272;1;0;8912;9785;0;0
150;2019-Jul-6 7:00:01;65;9690;0;0;7580;8532;0;0
151;2019-Dec-8 10:00:00;11;5597;1;1;5277;6522;0;0
152;2020-Apr-4 19:45:00;52;8949;0;1;11339;4396;1;1
153;2020-Feb-3 15:45:00;3;5097;1;0;3898;4690;0;0
154;2019-Nov-27 15:30:00;65;6928;0;1;3403;8638;1;1
155;2019-Aug-30 10:45:00;72;9949;0;1;5365;7271;1;1
156;2020-Jan-17 8:15:00;97;8685;1;0;5418;5468;1;1
157;2019-Nov-17 8:15:00;82;6963;1;1;14787;4576;0;0
158;2020-Jul-30 8:30:00;90;5922;1;0;11429;8098;1;0
159;2020-Apr-1 17:15:00;18;7992;0;0;10644;5321;0;1
160;2020-Mar-17 12:30:00;8;6820;1;0;5956;7317;1;0
161;2020-Aug-12 17:15:00;16;7128;0;1;1373;5951;1;1
162;2020-May-5 13:45:00;31;5438;0;0;11334;6390;1;0
163;2020-May-30 13:45:00;71;4652;1;1;13884;7102;0;1
164;2020-Apr-11 8:30:00;41;7003;0;0;6955;9283;0;0
165;2020-Mar-23 13:15:00;15;4790;1;1;8332;5160;1;0
166;2020-May-28 9:45:00;49;6967;1;1;4432;9603;0;0
167;2019-May-21 8:06:01;60;5901;0;0;2676;4101;1;1
168;2019-Dec-30 18:30:00;68;8410;0;1;12957;6968;1;1
169;2020-Feb-17 15:15:00;17;8333;1;1;10088;4162;1;0
170;2020-Aug-31 15:15:00;32;9133;0;1;2477;5895;1;0
171;2019-Oct-31 16:00:00;24;7307;1;1;6166;7606;0;1
172;2020-Jan-6 15:45:00;57;5328;1;1;8914;6203;1;0
173;2020-Feb-15 16:00:00;89;7830;0;0;5576;5429;1;1
174;2019-Jul-22 10:15:00;36;8872;1;1;14541;4940;1;0
175;2019-Nov-11 9:45:00;10;8746;1;1;14499;5675;1;1
176;2019-Apr-13 12:30:00;6;9487;1;0;7802;7606;1;1
177;2020-May-22 10:30:00;39;4430;1;0;8371;4876;0;0
178;2020-Apr-27 21:45:00;4;9724;1;0;1999;8927;0;1
179;2020-Mar-28 5:00:00;71;4533;1;1;6112;7526;1;0
180;2020-Jul-31 10:00:00;52;8873;1;1;7319;6569;0;1
181;2020-Apr-1 16:15:00;40;4800;1;1;6374;6298;1;0
182;2019-Nov-26 16:15:00;48;6930;1;0;3641;7024;0;1
183;2019-May-5 0:32:01;7;4695;0;1;9849;7367;0;1
184;2020-Jan-11 15:30:00;75;4909;0;0;8262;7296;0;1
185;2019-May-13 14:15:02;5;7467;1;1;1979;8328;0;0
186;2020-May-8 12:15:00;27;5071;1;0;14224;8006;0;0
187;2020-Feb-17 19:30:00;28;5712;1;1;14542;7106;0;1
188;2020-Apr-30 17:45:00;21;9817;0;0;12893;4943;0;1
189;2019-Jul-22 8:45:00;83;4939;1;0;2226;6115;0;1
190;2020-Mar-2 12:00:01;68;8658;0;0;12667;8179;1;0
191;2020-Feb-22 17:15:00;35;8192;1;0;9572;6807;0;0
192;2019-Jul-29 15:30:01;11;6500;1;1;1888;8058;0;0
193;2019-Jun-3 14:31:00;83;4875;0;0;4904;4676;0;1
194;2020-Mar-13 15:30:00;17;7378;1;0;9096;7019;1;0
195;2019-Aug-29 9:00:00;78;5009;1;1;12420;5675;0;1
196;2019-Apr-1 15:42:01;20;4178;0;0;13513;7884;1;1
197;2020-Jun-7 9:00:00;29;8698;0;0;11137;8469;0;0
198;2020-Aug-20 21:00:00;15;8043;1;1;13610;5581;0;0
199;2019-Sep-25 7:45:00;2;7396;1;0;14797;6166;1;1
200;2019-May-29 8:46:01;12;4973;0;0;1203;9253;0;1
201;2020-Jan-23 16:45:00;92;9532;1;1;1299;5834;0;1
202;2019-Jul-5 12:15:00;59;8145;0;1;14530;4648;0;0
203;2020-Jun-11 6:00:00;26;7794;0;0;1714;4384;1;0
204;2020-Jan-7 12:30:00;22;6293;0;0;5664;8489;0;0
205;2020-Jun-2 18:45:00;12;6979;1;0;4673;9335;1;1
206;2020-Jan-25 11:45:00;88;7205;1;0;6169;6668;0;0
207;2019-Nov-9 13:15:00;97;7673;0;0;12657;6289;1;1
208;2019-May-14 4:31:05;14;5338;0;1;5653;5994;0;0
209;2020-Apr-23 14:15:00;65;4839;1;0;10453;6997;0;1
210;2020-Feb-25 9:00:00;88;6580;1;0;3654;8973;1;0
211;2020-Aug-25 12:00:00;51;6838;0;0;5323;7124;0;0
212;2019-Dec-14 15:00:00;33;7038;1;0;2612;7321;1;0
213;2020-Jan-24 7:45:00;60;5459;0;0;7495;8057;1;1
214;2019-Aug-9 17:15:00;88;9864;1;1;1299;4731;0;1
215;2019-May-29 12:31:02;39;4245;0;1;416;8800;0;0
216;2020-Jan-29 20:15:00;50;7158;0;0;1058;8928;1;1
217;2019-Dec-11 7:45:00;61;6831;0;0;13356;5628;0;1
218;2020-Apr-4 11:00:00;77;9972;1;1;10221;5243;0;0
219;2019-Jun-17 8:30:01;22;6238;0;0;9866;6908;1;0
220;2020-Jan-1 10:00:00;10;5576;0;1;7720;8612;0;0
221;2019-Oct-25 10:30:00;44;6632;1;0;1620;6704;1;1
222;2020-Aug-28 10:30:00;57;6711;0;0;12989;8115;1;0
223;2020-Mar-3 16:00:01;42;8148;0;1;9253;7134;1;0
224;2019-Aug-24 11:30:00;97;5828;1;1;9498;7961;0;0
225;2020-Aug-6 6:00:00;30;8377;0;1;13277;7278;0;1
226;2020-Jun-8 13:45:00;22;6830;0;0;4054;6341;0;1
227;2020-Mar-17 9:45:00;93;9716;0;1;12377;6765;0;1
228;2020-Jul-18 20:45:00;75;4867;1;1;8837;6293;0;1
229;2019-Sep-8 5:45:00;1;5519;1;0;7746;8295;0;1
230;2019-Oct-18 20:15:00;72;9527;1;1;8636;8925;1;0
231;2020-Feb-4 14:30:00;72;8752;0;0;14121;5223;0;0
232;2019-Sep-23 11:30:00;46;4280;0;0;5911;5203;0;0
233;2020-Aug-19 6:00:00;98;6561;0;0;6484;4684;1;0
234;2020-Feb-10 17:45:00;16;6773;0;1;9368;9179;0;0
235;2019-Jun-3 7:46:00;2;9933;1;1;12877;8901;1;0
236;2020-Jun-16 18:15:00;33;5751;0;1;4294;9215;0;0
237;2020-Mar-15 16:30:00;47;7257;1;1;14191;5093;1;1
238;2019-Jun-28 10:00:01;82;4096;0;0;6994;7009;0;0
239;2019-Sep-22 12:15:00;70;9885;1;0;2612;5877;0;1
240;2019-Nov-17 10:45:00;89;7617;0;1;12167;8014;1;0
241;2020-Jan-14 15:30:00;86;4705;0;1;2754;8606;1;1
242;2020-May-22 6:00:00;86;7567;1;1;11242;9808;0;0
243;2019-May-3 9:46:05;10;4034;0;1;5319;9035;0;1
244;2019-Jul-16 16:45:00;7;9080;1;0;14578;7477;0;0
245;2019-Nov-15 19:00:00;82;7339;0;1;12053;5661;1;0
246;2019-Jun-5 14:16:00;69;6523;0;1;549;6249;0;0
247;2020-Mar-6 10:45:00;60;6364;0;0;13866;5117;0;0
248;2019-Jul-19 21:00:00;70;9255;1;1;482;5706;1;1
249;2020-Jun-1 10:45:00;92;7269;1;1;12702;9626;0;1
250;2020-Jun-16 9:45:00;82;7294;1;0;3451;4079;0;1
251;2020-Jan-25 7:30:00;74;7790;0;0;10779;4975;1;0
252;2019-Nov-23 6:30:00;10;5559;1;0;4390;8381;1;0
253;2020-Jan-7 15:30:00;71;8601;1;0;10207;5320;1;1
254;2019-Oct-1 15:15:00;46;9468;1;0;10450;5104;0;0
255;2019-Apr-1 15:31:04;80;6012;1;0;9331;6584;1;1
256;2019-Jun-4 6:01:02;70;8765;1;1;9584;8908;0;0
257;2019-May-2 21:02:01;20;4153;0;1;11997;9865;1;1
258;2020-Jun-18 7:00:00;85;5544;0;1;7722;8088;0;0
259;2019-Jun-21 12:30:00;54;5043;1;1;9317;5808;1;1
260;2020-May-12 5:45:00;37;4177;0;0;8424;9236;1;0
261;2019-Jun-27 14:15:00;41;8499;0;0;6801;6253;1;0
262;2020-May-17 18:30:00;67;8391;0;0;6579;7563;1;1
263;2019-Dec-21 10:00:00;17;9633;0;1;2021;7813;1;0
264;2019-Apr-12 0:15:05;1;7775;1;0;1367;8079;0;0
265;2019-Oct-25 9:00:00;3;4806;1;1;13233;6520;1;1
266;2020-Aug-26 21:45:00;72;5111;0;1;3640;5764;1;1
267;2019-Nov-27 7:15:03;90;6505;0;1;9924;7600;1;1
268;2020-Aug-18 23:30:00;56;4877;1;1;9198;6130;0;0
269;2020-Mar-2 16:45:00;25;6718;1;1;35;4546;0;0
270;2020-Jan-28 4:00:00;82;7590;1;0;13396;6375;1;0
271;2020-Jan-11 21:15:00;1;6696;1;1;10239;5206;1;1
272;2019-Oct-21 16:30:00;6;4938;1;1;10053;5309;0;1
273;2019-Nov-29 9:45:00;70;8447;1;1;5368;8893;1;1
274;2019-Jun-2 7:01:01;2;5661;1;1;13273;6761;0;1
275;2019-Apr-3 9:24:03;18;6440;0;1;12957;4149;1;0
276;2020-Mar-3 14:15:00;84;8562;1;1;11692;4401;1;1
277;2020-Jun-26 14:30:00;38;4536;1;0;7191;5958;1;1
278;2020-Feb-16 17:00:00;60;7892;1;1;7142;6614;1;1
279;2020-Apr-29 15:45:00;83;4720;0;1;734;7426;1;0
280;2019-Nov-18 19:45:00;30;6105;0;1;3800;4499;1;0
281;2019-Oct-8 16:30:01;36;5371;1;0;10544;4309;1;0
282;2020-Jan-23 5:00:00;4;5654;1;0;8322;4355;0;1
283;2019-Aug-16 6:00:00;51;6806;0;1;2717;9919;1;0
284;2020-Jan-6 19:00:00;84;4250;1;0;10888;8439;0;0
285;2020-Jul-18 16:00:00;9;5739;1;1;14733;4676;1;0
286;2019-Aug-31 8:15:00;31;7868;0;1;3341;7677;1;0
287;2019-Aug-24 16:00:00;67;4871;0;1;2199;7499;1;0
288;2020-Jan-19 19:15:00;38;4596;1;0;3490;6161;1;1
289;2020-Apr-25 7:45:00;49;7564;1;0;1615;5692;1;1
290;2019-May-5 16:47:01;2;4316;0;1;5951;7459;1;1
291;2020-Feb-29 9:45:00;38;9135;0;1;8895;5462;1;0
292;2019-Sep-17 3:15:00;69;6770;1;1;7094;9640;1;0
293;2019-Apr-23 13:18:01;13;9960;1;1;10641;4793;0;0
294;2019-Aug-15 13:45:00;26;7535;0;1;924;9073;0;0
295;2019-Apr-6 17:01:02;94;8942;0;0;5201;5850;1;1
296;2019-Sep-11 18:30:00;53;5547;1;1;10960;7539;0;1
297;2019-Nov-19 7:00:00;37;9843;1;1;14390;5183;0;0
298;2019-Aug-21 7:45:00;80;9848;0;0;56;6708;0;0
299;2020-Jun-13 12:15:00;19;8410;1;0;14684;9475;1;1
300;2019-May-3 13:17:02;58;8124;0;0;13128;6864;1;0
301;2019-May-25 15:16:00;82;9991;0;0;1521;9090;0;1
302;2020-Jul-1 14:15:00;65;8049;0;1;9996;8057;0;0
303;2020-Jun-2 18:45:00;59;7983;1;0;11019;8862;0;0
304;2019-Nov-4 17:30:00;93;9345;0;0;8766;5438;1;0
305;2020-Aug-4 13:00:00;24;7930;1;1;12443;9119;1;0
306;2019-Sep-7 11:30:00;3;6991;1;0;3724;4335;0;0
307;2019-Dec-3 8:00:00;91;8991;1;0;13687;6847;0;0
308;2019-May-25 13:41:03;44;4159;0;1;14742;8142;0;1
309;2020-Jan-28 14:30:00;4;4179;1;1;13933;5970;1;1
310;2019-Apr-6 9:16:00;56;4788;1;1;1405;4801;0;1
311;2020-Aug-28 14:15:00;1;8229;0;0;11619;7910;0;0
312;2019-Nov-26 1:45:00;44;6028;0;1;1381;7402;1;0
313;2020-Jul-30 14:00:00;34;9212;1;1;11362;8841;0;0
314;2019-Jul-22 14:00:01;6;7317;0;0;14292;8217;1;1
315;2020-Jan-19 5:00:00;93;8576;0;0;147;4436;0;0
316;2020-Jun-9 16:00:00;78;6844;1;1;444;4495;0;0
317;2020-Jan-10 7:45:00;25;6545;1;1;803;9270;1;1
318;2020-Jan-30 9:00:00;96;9231;0;0;337;8353;1;1
319;2019-Oct-1 14:30:00;32;4662;0;1;5573;7416;1;0
320;2019-Jun-25 10:30:00;72;5798;0;1;13951;4282;0;0
321;2020-Feb-24 10:30:00;6;9768;0;0;8625;8277;1;0
322;2020-Jun-5 10:45:00;77;8845;1;0;1428;9948;1;0
323;2020-May-2 5:15:00;76;9045;1;1;1915;4554;1;0
324;2019-Nov-27 14:00:01;15;4394;0;1;13301;5794;0;1
325;2019-Aug-10 9:00:00;67;6587;0;1;7304;5208;1;0
326;2020-Aug-23 16:00:00;79;9729;1;0;2521;8081;1;0
327;2020-Jul-10 10:45:00;67;4267;1;0;13162;5097;1;1
328;2020-May-31 16:15:00;80;8262;0;1;9947;4242;1;1
329;2019-Apr-23 12:16:05;28;6810;0;0;7971;6435;0;1
330;2020-Apr-8 9:00:01;32;4740;1;1;7572;5327;0;0
331;2020-Jul-27 11:30:00;90;4096;0;1;6148;5221;1;0
332;2019-Jun-13 8:01:03;21;8385;1;0;5508;4542;0;1
333;2020-Aug-8 13:45:00;70;7724;1;0;4401;4436;0;1
334;2019-Aug-20 16:15:00;11;8017;1;1;5014;8612;0;0
335;2020-Jul-15 12:30:00;94;7684;1;1;14077;5154;0;0
336;2020-Mar-12 15:30:00;53;4281;0;1;10438;5255;0;0
337;2019-Nov-13 10:00:00;22;7937;1;1;5385;5979;1;1
338;2019-Aug-3 5:00:00;95;7973;0;1;14259;5186;0;0
339;2019-Dec-13 10:30:00;81;8894;1;0;8577;5289;0;0
340;2020-Mar-2 5:30:00;59;9424;0;1;2943;7382;1;0
341;2020-Feb-25 9:15:00;89;8228;0;1;4189;6682;1;0
342;2020-Mar-24 9:45:00;54;8083;1;0;6244;9717;1;1
343;2020-Mar-6 13:45:00;4;6164;1;0;2396;8776;1;1
344;2020-Apr-8 15:45:00;34;7366;0;0;141;4016;0;0
345;2019-Dec-5 10:00:02;63;6105;1;1;4327;8593;1;1
346;2019-Sep-17 12:15:00;63;9707;0;0;9173;9811;0;0
347;2020-Aug-18 11:30:00;54;4369;1;0;12938;5278;0;1
348;2019-Dec-24 22:45:00;34;8983;0;1;2610;5442;0;1
349;2019-Oct-26 10:00:00;16;4656;1;1;9182;4274;0;0
350;2020-Apr-16 11:45:00;78;5723;0;0;7941;7663;1;1
351;2019-May-21 1:46:00;98;6631;0;0;6649;9393;1;1
352;2020-Feb-22 15:45:00;62;6464;0;0;937;8950;0;0
353;2020-Feb-1 19:00:00;40;8375;0;0;3751;4437;1;1
354;2020-Apr-26 22:00:00;1;7818;0;0;8321;6202;1;1
355;2020-Jul-2 12:15:00;73;8435;0;0;12547;8150;1;0
356;2020-Mar-8 13:45:00;33;6397;0;0;12476;4786;1;1
357;2019-Jun-2 5:31:01;95;4609;0;1;8559;9321;1;0
358;2020-Feb-3 6:30:00;66;8389;1;0;8235;5544;1;1
359;2019-Oct-22 0:00:00;64;4988;1;0;8630;4903;0;1
360;2020-Jun-29 7:15:00;6;6046;1;0;10394;8849;0;0
361;2019-Oct-15 3:15:00;65;7124;0;0;3956;7612;1;0
362;2019-Dec-10 7:30:04;7;4237;1;0;8811;6526;1;0
363;2020-May-1 12:30:00;64;7188;0;1;2310;7456;1;0
364;2020-Jul-21 6:00:00;37;9607;0;0;7113;9191;1;1
365;2020-Jul-2 5:30:00;64;8647;1;0;13554;4372;0;0
366;2019-Oct-8 8:15:00;42;4606;1;1;7913;4651;1;1
367;2020-Jul-19 12:30:00;19;6052;1;1;14530;8548;0;0
368;2019-May-24 11:31:02;24;7291;0;0;14753;8966;1;0
369;2020-Feb-24 8:00:00;86;5131;0;0;11643;6152;0;1
370;2020-Mar-5 9:45:00;100;4499;1;0;11062;6698;1;1
371;2019-Oct-23 9:30:00;63;5457;1;0;6852;4040;1;1
372;2019-Apr-20 7:27:03;96;5648;1;1;1916;4418;0;1
373;2020-Apr-20 7:45:00;17;6227;0;1;3652;9005;1;0
374;2020-Feb-12 7:45:00;38;5460;1;0;1147;6513;1;0
375;2020-Mar-21 6:15:00;31;8899;0;0;10410;7674;1;0
376;2019-Sep-22 7:30:00;52;5119;0;0;12608;7915;1;0
377;2020-Mar-17 19:30:00;41;4409;1;0;1985;4562;1;0
378;2020-Mar-25 6:15:00;78;5222;0;1;12644;6437;0;0
379;2019-Jul-18 14:30:00;35;5657;0;1;14873;5908;0;1
380;2019-May-13 7:02:04;29;9169;1;0;3889;4981;1;1
381;2019-Dec-10 13:45:00;100;4767;0;1;13991;7594;1;1
382;2020-Mar-16 15:00:00;31;8442;1;0;3835;6803;0;0
383;2020-Mar-24 11:30:00;94;8142;1;1;6424;6701;0;1
384;2019-Nov-26 11:15:00;35;9003;1;1;12285;6117;0;1
385;2019-Oct-9 8:15:00;33;8876;1;1;5957;7454;1;0
386;2020-Jun-26 17:45:00;16;4774;1;1;698;9469;1;1
387;2020-Aug-26 12:45:00;44;8152;1;1;9958;7226;1;1
388;2020-Jun-27 12:45:00;44;9801;1;0;11584;4202;0;1
389;2020-Jul-5 10:30:00;79;5169;1;1;7406;9709;0;1
